ALASKA,0.0176
ARIZONA,0.028
ARKANSAS,0.0298
CALIFORNIA,0.0157
COLORADO ,0.0482
CONNECTICUT,0
DELAWARE,0
FLORIDA,0.0101
GEORGIA ,0.0333
HAWAII ,0.0044
IDAHO,0.0002
ILLINOIS,0.0258
INDIANA ,0
IOWA,0.0094
KANSAS ,0.022
KENTUCKY,0
LOUISIANA,0.051
MAINE,0
MARYLAND,0
MASSACHUSETTS ,0
MICHIGAN,0
MINNESOTA,0.006
MISSISSIPPI,0.0007
MISSOURI,0.0403
MONTANA,0
NEBRASKA,0.0144
NEVADA,0.0138
NEW HAMPSHIRE,0
NEW JERSEY,0
NEW MEXICO,0.0271
NEW YORK,0.0452
NORTH CAROLINA,0.0223
NORTH DAKOTA,0.0196
OHIO,0.0147
OKLAHOMA,0.0445
OREGON,0
PENNSYLVANIA,0.0034
RHODE ISLAND,0
SOUTH CAROLINA,0.0147
SOUTH DAKOTA,0.019
TENNESSEE,0.0255
TEXAS,0.0194
UTAH ,0.0109
VERMONT,0.0024
VIRGINIA ,0.0045
WASHINGTON,0.0279
WEST VIRGINIA,0.0051
WISCONSIN,0.0043
WYOMING,0.0139
DIST. OF COLUMBIA ,0
